Title,Release Year,IMDb Rating,Director(s),Cast,Plot Summary
Poor Things,2023,8,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef","The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
Dune: Part Two,2024,8.9,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Damsel,2024,6.2,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter","A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
Oppenheimer,2023,8.3,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.",The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Dune,2021,8,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
The Zone of Interest,2023,7.5,Jonathan Glazer,"Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte",Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.
Ricky Stanicky,2024,6.2,Peter Farrelly,"Zac Efron, John Cena, Andrew Santino, Riley Stiles","When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior."
Kung Fu Panda 4,2024,6.5,,"Jack Black, Awkwafina, Viola Davis, Dustin Hoffman","After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
Anatomy of a Fall,2023,7.8,Justine Triet,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz",A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.
The Holdovers,2023,8,Alexander Payne,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston",A cranky history teacher at a prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.
American Fiction,2023,7.6,Cord Jefferson,"Jeffrey Wright, Tracee Ellis Ross, John Ortiz, Erika Alexander",A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.
Wonka,2023,7.1,Paul King,"Timothée Chalamet, Gustave Die, Murray McArthur, Paul G. Raymond","With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers."
The Gentlemen,2019,7.8,Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Dune,1984,6.3,David Lynch,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.
Killers of the Flower Moon,2023,7.6,Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons","When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
Anyone But You,2023,6.2,Will Gluck,"Sydney Sweeney, Glen Powell, Alexandra Shipp, Mia Artemis","After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
Spaceman,2024,5.7,Johan Renck,"Adam Sandler, Carey Mulligan, Paul Dano, Kunal Nayyar","Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
Love Lies Bleeding,2024,7.3,Rose Glass,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian","Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas."
Barbie,2023,6.9,Greta Gerwig,"Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon","Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
Madame Web,2024,3.8,S.J. Clarkson,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor","Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women from a deadly adversary who wants them destroyed."
Argylle,2024,5.8,Matthew Vaughn,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston","A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real time."
Road House,2024,6.3,Doug Liman,"Jake Gyllenhaal, Daniela Melchior, Conor McGregor, Billy Magnussen","Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Mean Girls,2024,5.8,,"Angourie Rice, Reneé Rapp, Auli'i Cravalho, Jaquel Spivey","Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
The Beekeeper,2024,6.4,David Ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson",One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as "Beekeepers".
Godzilla Minus One,2023,8.3,Takashi Yamazaki,"Minami Hamabe, Sakura Andô, Ryunosuke Kamiki, Rikako Miura","Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
Past Lives,2023,7.9,Celine Song,"Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah","Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Saltburn,2023,7,Emerald Fennell,"Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant","A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten."
Imaginary,2024,4.8,Jeff Wadlow,"DeWanda Wise, Taegen Burns, Pyper Braun, Betty Buckley",A woman returns to her childhood home to discover that the imaginary friend she left behind is very real and unhappy that she abandoned him.
Cabrini,2024,8,Alejandro Monteverde,"Cristiana Dell'Anna, John Lithgow, David Morse, Giancarlo Giannini","After witnessing disease and poverty in the slums of New York, Italian immigrant Francesca Cabrini embarks on a daring journey to persuade the hostile mayor to provide housing and healthcare for hundreds of orphaned children."
Maestro,2023,6.5,Bradley Cooper,"Carey Mulligan, Bradley Cooper, Matt Bomer, Vincenzo Amato",This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein.
Drive-Away Dolls,2024,5.7,Ethan Coen,"Margaret Qualley, Geraldine Viswanathan, Beanie Feldstein, Joey Slotnick","Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals."
The Crow,2024,,Rupert Sanders,"Bill Skarsgård, FKA twigs, Danny Huston, Laura Birn","Soulmates Eric Draven and Shelly Webster are brutally murdered. Given the chance to save his true love by sacrificing himself, Eric sets out to seek revenge, traversing the worlds of the living and the dead to put the wrong things right."
Napoleon,2023,6.4,Ridley Scott,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Rupert Everett","An epic that details the chequered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine."
Ghostbusters: Frozen Empire,2024,,Gil Kenan,"Mckenna Grace, Annie Potts, Carrie Coon, Paul Rudd","When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Shaitaan,2024,7.7,Vikas Bahl,"Ajay Devgn, Madhavan, Jyotika, Janki Bodiwala",A timeless tale of battle between good and evil with a family embodying the forces of righteousness while a man symbolizes malevolence.
Godzilla x Kong: The New Empire,2024,,Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle","Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
The Boy and the Heron,2023,7.6,Hayao Miyazaki,"Soma Santoki, Masaki Suda, Kô Shibasaki, Aimyon","In the wake of his mother's death and his father's remarriage, a headstrong boy named Mahito ventures into a dreamlike world shared by both the living and the dead."
The Fall Guy,2024,,David Leitch,"Ryan Gosling, Emily Blunt, Hannah Waddingham, Aaron Taylor-Johnson","Colt Seavers is a stuntman who left the business a year earlier to focus on both his physical and mental health. He's drafted back into service when the star of a mega-budget studio movie, which is being directed by his ex, goes missing."
Atlas,2024,,Brad Peyton,"Sterling K. Brown, Jennifer Lopez, Simu Liu, Lana Parrilla","A bleak-sounding future, where an AI soldier has determined that the only way to end war is to end humanity."
Aquaman and the Lost Kingdom,2023,5.6,James Wan,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Amber Heard","Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom."
The First Omen,2024,,Arkasha Stevenson,"Nell Tiger Free, Bill Nighy, Charles Dance, Ralph Ineson","A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
Irish Wish,2024,5.3,Janeen Damian,"Lindsay Lohan, Ed Speleers, Alexander Vlahos, Ayesha Curry","When the love of Maddie's life gets engaged to her best friend, she puts her feelings aside to be a bridesmaid at their wedding in Ireland."
20 Days in Mariupol,2023,8.6,Mstyslav Chernov,"Mstyslav Chernov, Evgeniy Maloletka, Liudmyla Amelkina, Zhanna Homa","As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities."
Late Night with the Devil,2023,7.5,,"David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi","A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms."
